	0	1	2
1387	6.4000000000	90.0000000000	-0.9988279440
638	6.6000000000	40.0000000000	-0.9852758253
713	6.6000000000	45.0000000000	-0.9610513134
788	6.6000000000	50.0000000000	-0.9370159860
863	6.6000000000	55.0000000000	-0.9138912622
39	6.8000000000	0.0000000000	-0.9083181414
114	6.8000000000	5.0000000000	-0.9065551021
189	6.8000000000	10.0000000000	-0.9013263384
264	6.8000000000	15.0000000000	-0.8928148936
938	6.6000000000	60.0000000000	-0.8923234887
339	6.8000000000	20.0000000000	-0.8813001577
1013	6.6000000000	65.0000000000	-0.8729603409
414	6.8000000000	25.0000000000	-0.8671756481
1088	6.6000000000	70.0000000000	-0.8563136277
489	6.8000000000	30.0000000000	-0.8509075314
1163	6.6000000000	75.0000000000	-0.8428765129
564	6.8000000000	35.0000000000	-0.8330058637
1238	6.6000000000	80.0000000000	-0.8329926956
1313	6.6000000000	85.0000000000	-0.8269531931
1388	6.6000000000	90.0000000000	-0.8249193190
639	6.8000000000	40.0000000000	-0.8140643224
714	6.8000000000	45.0000000000	-0.7946724244
789	6.8000000000	50.0000000000	-0.7754115491
864	6.8000000000	55.0000000000	-0.7568672587
40	7.0000000000	0.0000000000	-0.7527744969
115	7.0000000000	5.0000000000	-0.7513551565
190	7.0000000000	10.0000000000	-0.7471473876
265	7.0000000000	15.0000000000	-0.7402956085
939	6.8000000000	60.0000000000	-0.7395555414
340	7.0000000000	20.0000000000	-0.7310239015
1014	6.8000000000	65.0000000000	-0.7240048828
415	7.0000000000	25.0000000000	-0.7196474368
1089	6.8000000000	70.0000000000	-0.7106283437
490	7.0000000000	30.0000000000	-0.7065388755
1164	6.8000000000	75.0000000000	-0.6998282152
565	7.0000000000	35.0000000000	-0.6921011762
1239	6.8000000000	80.0000000000	-0.6918823589
1314	6.8000000000	85.0000000000	-0.6870278003
